,0,1,0,0,0,1,2,3,4
129,506077020.0,0.15,3306.0,鼎天,"9999    000
3306     鼎天
9999    000
9999    000
9999    000
Name: 0, dtype: string","9999    000
9999    000
9999    000
9999    000
9999    000
Name: 0, dtype: string","9999    000
9999    000
9999    000
9999    000
9999    000
Name: 0, dtype: string","9999    000
9999    000
9999    000
9999    000
8906     花王
Name: 0, dtype: string","9999    000
9999    000
9999    000
9999    000
9999    000
Name: 0, dtype: string"
130,504386360.0,0.05,3310.0,佳穎,"9999    000
4102     永日
9999    000
9999    000
9999    000
9999    000
9999    000
Name: 0, dtype: string","9999    000
9999    000
9999    000
9999    000
6240     松崗
9999    000
9999    000
Name: 0, dtype: string","9999    000
9999    000
9999    000
5340     建榮
9999    000
9999    000
9999    000
Name: 0, dtype: string","9999    000
9999    000
9999    000
9999    000
9999    000
9999    000
9999    000
Name: 0, dtype: string","3310     佳穎
9999    000
4433     興采
9999    000
9999    000
9999    000
9999    000
Name: 0, dtype: string"
131,1187707760.0,0.99,3313.0,斐成,"['000', '佳邦', '000']","['000', '000', '000']","['陞達科技', '000', '明達醫']",日揚6208,千附8383
132,612515500.0,1.58,3317.0,尼克森,尼克森3317,禾瑞亞3556,先益3531,三圓4416,永純4711
133,1046858330.0,1.4,3322.0,建舜電,"['000', '環泰']","['建舜電', '000']",臺慶科3357,博晟生醫6733,協益5356
134,803059140.0,0.63,3323.0,加百裕,"['000', '合富-KY', '000', '000']","['000', '000', '000', '德勝']","['皇龍', '000', '金山電', '000']","['000', '000', '000', '000']",矽瑪3511
135,883940920.0,4.34,3324.0,雙鴻,雙鴻3324,上詮3363,大世科8099,亞通6179,聯合4129
136,846345790.0,-0.3,3325.0,旭品,"['000', '巨虹']","['000', '000']",晶悅2718,鉅橡8074,優盛4121
137,481042460.0,0.72,3332.0,幸康,"9999    000
4550     長佳
9999    000
9999    000
9999    000
Name: 0, dtype: string","9999    000
9999    000
9999    000
9999    000
9999    000
Name: 0, dtype: string","9999    000
9999    000
9999    000
9999    000
9999    000
Name: 0, dtype: string","9999    000
9999    000
9999    000
9999    000
9999    000
Name: 0, dtype: string","9999    000
9999    000
9999    000
9999    000
9999    000
Name: 0, dtype: string"
138,508616490.0,0.75,3339.0,泰谷,['000'],鉅明8928,數字5287,明揚8420,博磊3581
139,385304310.0,0.13,3349.0,寶德,"['000', '大恭', '000', '000']","['000', '000', '000', '000']","['000', '000', '000', '000']","['000', '000', '000', '000']",訊達電腦6140
140,701124260.0,-0.24,3354.0,律勝,"['000', '志旭']","['律勝', '000']",亞都麗緻5703,倚強科3219,元山6275
141,1031340000.0,2.74,3357.0,臺慶科,['000'],博晟生醫6733,協益5356,台嘉碩3221,彩富5489
142,687070540.0,0.74,3360.0,尚立,"9999    000
3426     台興
9999    000
9999    000
9999    000
Name: 0, dtype: string","9999      000
9999      000
9999      000
9999      000
8426    紅木-KY
Name: 0, dtype: string","9999    000
9999    000
4908     前鼎
9999    000
9999    000
Name: 0, dtype: string","3379        彬台
9999       000
9999       000
4971    IET-KY
9999       000
Name: 0, dtype: string","9999    000
9999    000
9999    000
9999    000
9999    000
Name: 0, dtype: string"
143,1415458800.0,0.12,3362.0,先進光,"['000', '豐謙', '000']","['000', '000', '000']","['立衛', '000', '正淩']",立敦6175,福華8085
144,883145800.0,0.47,3363.0,上詮,上詮3363,雙鴻3324,亞通6179,聯合4129,大世科8099
145,1756000000.0,0.6,3372.0,典範,"['000', '宏遠證', '000', '000']","['000', '000', '000', '新漢']","['濟生', '000', '000', '000']","['000', '000', '佑華', '000']",聚和6509
